,block,rank,fold,train_score,val_score,n_features,test_score,dataset,subject,session
0,0,"(2, 2, 2)",0,0.9473684210526315,0.85,8,0.7916666666666666,BNCI2014-004,1,0train
1,0,"(2, 2, 2)",1,0.922077922077922,0.8421052631578947,8,0.75,BNCI2014-004,1,0train
2,0,"(2, 2, 2)",2,0.8571428571428571,0.8421052631578947,8,0.7916666666666666,BNCI2014-004,1,0train
3,0,"(2, 2, 2)",3,0.922077922077922,0.9473684210526315,8,0.8333333333333334,BNCI2014-004,1,0train
4,0,"(2, 2, 2)",4,0.935064935064935,0.7894736842105263,8,0.7916666666666666,BNCI2014-004,1,0train
5,1,"(3, 4, 4)",0,0.9868421052631579,0.85,56,0.8333333333333334,BNCI2014-004,1,0train
6,1,"(3, 4, 4)",1,0.987012987012987,0.7894736842105263,56,0.7916666666666666,BNCI2014-004,1,0train
7,1,"(3, 4, 4)",2,0.974025974025974,0.9473684210526315,56,0.9166666666666666,BNCI2014-004,1,0train
8,1,"(3, 4, 4)",3,0.974025974025974,0.7894736842105263,56,0.7916666666666666,BNCI2014-004,1,0train
9,1,"(3, 4, 4)",4,0.987012987012987,0.8947368421052632,56,0.8333333333333334,BNCI2014-004,1,0train
10,2,"(1, 1, 1)",0,1.0,0.9,57,0.8333333333333334,BNCI2014-004,1,0train
11,2,"(1, 1, 1)",1,1.0,0.8421052631578947,57,0.7083333333333334,BNCI2014-004,1,0train
12,2,"(1, 1, 1)",2,0.974025974025974,0.9473684210526315,57,0.8333333333333334,BNCI2014-004,1,0train
13,2,"(1, 1, 1)",3,0.987012987012987,0.7368421052631579,57,0.7083333333333334,BNCI2014-004,1,0train
14,2,"(1, 1, 1)",4,0.987012987012987,0.8947368421052632,57,0.75,BNCI2014-004,1,0train
15,3,"(1, 1, 1)",0,0.9868421052631579,0.95,58,0.75,BNCI2014-004,1,0train
16,3,"(1, 1, 1)",1,1.0,0.8421052631578947,58,0.625,BNCI2014-004,1,0train
17,3,"(1, 1, 1)",2,0.961038961038961,0.8947368421052632,58,0.7083333333333334,BNCI2014-004,1,0train
18,3,"(1, 1, 1)",3,0.987012987012987,0.7368421052631579,58,0.625,BNCI2014-004,1,0train
19,3,"(1, 1, 1)",4,0.987012987012987,0.8421052631578947,58,0.7083333333333334,BNCI2014-004,1,0train
20,4,"(1, 1, 1)",0,0.9736842105263158,0.9,59,0.6666666666666666,BNCI2014-004,1,0train
21,4,"(1, 1, 1)",1,1.0,0.7368421052631579,59,0.5833333333333334,BNCI2014-004,1,0train
22,4,"(1, 1, 1)",2,0.974025974025974,0.7894736842105263,59,0.75,BNCI2014-004,1,0train
23,4,"(1, 1, 1)",3,0.987012987012987,0.7894736842105263,59,0.6666666666666666,BNCI2014-004,1,0train
24,4,"(1, 1, 1)",4,1.0,0.8421052631578947,59,0.6666666666666666,BNCI2014-004,1,0train
25,5,"(1, 1, 1)",0,0.9736842105263158,0.9,60,0.6666666666666666,BNCI2014-004,1,0train
26,5,"(1, 1, 1)",1,1.0,0.7368421052631579,60,0.625,BNCI2014-004,1,0train
27,5,"(1, 1, 1)",2,0.974025974025974,0.8421052631578947,60,0.6666666666666666,BNCI2014-004,1,0train
28,5,"(1, 1, 1)",3,0.987012987012987,0.7894736842105263,60,0.6666666666666666,BNCI2014-004,1,0train
29,5,"(1, 1, 1)",4,1.0,0.8421052631578947,60,0.625,BNCI2014-004,1,0train
30,6,"(1, 1, 1)",0,0.9736842105263158,0.9,61,0.6666666666666666,BNCI2014-004,1,0train
31,6,"(1, 1, 1)",1,0.987012987012987,0.7368421052631579,61,0.5833333333333334,BNCI2014-004,1,0train
32,6,"(1, 1, 1)",2,0.974025974025974,0.7894736842105263,61,0.5833333333333334,BNCI2014-004,1,0train
33,6,"(1, 1, 1)",3,0.987012987012987,0.7894736842105263,61,0.6666666666666666,BNCI2014-004,1,0train
34,6,"(1, 1, 1)",4,1.0,0.8421052631578947,61,0.625,BNCI2014-004,1,0train
35,7,"(3, 4, 16)",0,0.9736842105263158,0.9,253,0.7083333333333334,BNCI2014-004,1,0train
36,7,"(3, 4, 16)",1,1.0,0.7368421052631579,253,0.625,BNCI2014-004,1,0train
37,7,"(3, 4, 16)",2,1.0,0.8421052631578947,253,0.5833333333333334,BNCI2014-004,1,0train
38,7,"(3, 4, 16)",3,1.0,0.7894736842105263,253,0.6666666666666666,BNCI2014-004,1,0train
39,7,"(3, 4, 16)",4,1.0,0.7894736842105263,253,0.6666666666666666,BNCI2014-004,1,0train
40,8,"(2, 2, 2)",0,0.9868421052631579,0.85,261,0.625,BNCI2014-004,1,0train
41,8,"(2, 2, 2)",1,1.0,0.6842105263157895,261,0.6666666666666666,BNCI2014-004,1,0train
42,8,"(2, 2, 2)",2,1.0,0.8421052631578947,261,0.5,BNCI2014-004,1,0train
43,8,"(2, 2, 2)",3,1.0,0.7894736842105263,261,0.7083333333333334,BNCI2014-004,1,0train
44,8,"(2, 2, 2)",4,1.0,0.7894736842105263,261,0.6666666666666666,BNCI2014-004,1,0train
45,9,"(1, 1, 1)",0,0.9868421052631579,0.85,262,0.5833333333333334,BNCI2014-004,1,0train
46,9,"(1, 1, 1)",1,1.0,0.6842105263157895,262,0.625,BNCI2014-004,1,0train
47,9,"(1, 1, 1)",2,1.0,0.8421052631578947,262,0.5,BNCI2014-004,1,0train
48,9,"(1, 1, 1)",3,1.0,0.7894736842105263,262,0.7083333333333334,BNCI2014-004,1,0train
49,9,"(1, 1, 1)",4,1.0,0.7894736842105263,262,0.6666666666666666,BNCI2014-004,1,0train
50,0,"(2, 2, 2)",0,0.868421052631579,0.65,8,0.5416666666666666,BNCI2014-004,1,1train
51,0,"(2, 2, 2)",1,0.8441558441558441,0.8421052631578947,8,0.8333333333333334,BNCI2014-004,1,1train
52,0,"(2, 2, 2)",2,0.8441558441558441,0.631578947368421,8,0.8333333333333334,BNCI2014-004,1,1train
53,0,"(2, 2, 2)",3,0.8311688311688312,0.7894736842105263,8,0.7916666666666666,BNCI2014-004,1,1train
54,0,"(2, 2, 2)",4,0.8961038961038961,0.42105263157894735,8,0.75,BNCI2014-004,1,1train
55,1,"(3, 4, 4)",0,0.9473684210526315,0.75,56,0.625,BNCI2014-004,1,1train
